Trial		Time		S		E		ES		P
1		0		1000		100		0		0
1		0.0010338		999		99		1		0
1		0.00436929		998		98		2		0
1		0.00884418		997		97		3		0
1		0.0129986		996		96		4		0
1		0.0206975		995		95		5		0
1		0.0290603		994		94		6		0
1		0.035604		993		93		7		0
1		0.0430355		992		92		8		0
1		0.0493159		991		91		9		0
1		0.0515812		990		90		10		0
1		0.0641705		989		89		11		0
1		0.0720358		988		88		12		0
1		0.0970731		987		87		13		0
1		0.0975303		986		86		14		0
1		0.115924		985		85		15		0
1		0.147282		984		84		16		0
1		0.153683		983		83		17		0
1		0.165753		982		82		18		0
1		0.165969		981		81		19		0
1		0.172184		980		80		20		0
1		0.1748		979		79		21		0
1		0.184805		978		78		22		0
1		0.188597		977		77		23		0
1		0.200518		976		76		24		0
1		0.211218		975		75		25		0
1		0.22278		974		74		26		0
1		0.223031		973		73		27		0
1		0.227908		972		72		28		0
1		0.229648		971		71		29		0
1		0.230042		970		70		30		0
1		0.231617		969		69		31		0
1		0.239527		968		68		32		0
1		0.240552		967		67		33		0
1		0.24248		966		66		34		0
1		0.248404		965		65		35		0
1		0.249754		964		64		36		0
1		0.253441		963		63		37		0
1		0.263531		962		62		38		0
1		0.276475		961		61		39		0
1		0.282529		960		60		40		0
1		0.290547		959		59		41		0
1		0.299029		958		58		42		0
1		0.312613		957		57		43		0
1		0.350267		956		56		44		0
1		0.35911		955		55		45		0
1		0.371567		954		54		46		0
1		0.372632		953		53		47		0
1		0.387849		952		52		48		0
1		0.388802		951		51		49		0
1		0.394537		950		50		50		0
1		0.409279		949		49		51		0
1		0.411974		948		48		52		0
1		0.429125		947		47		53		0
1		0.446839		946		46		54		0
1		0.449113		945		45		55		0
1		0.449187		945		46		54		1
1		0.461508		944		45		55		1
1		0.466973		943		44		56		1
1		0.478393		942		43		57		1
1		0.49103		941		42		58		1
1		0.513968		940		41		59		1
1		0.516786		939		40		60		1
1		0.519055		938		39		61		1
1		0.535236		937		38		62		1
1		0.561565		936		37		63		1
1		0.564629		935		36		64		1
1		0.588491		934		35		65		1
1		0.589183		933		34		66		1
1		0.602734		932		33		67		1
1		0.621917		931		32		68		1
1		0.650604		930		31		69		1
1		0.659045		929		30		70		1
1		0.684646		928		29		71		1
1		0.717312		928		30		70		2
1		0.719662		927		29		71		2
1		0.730697		928		30		70		2
1		0.732448		927		29		71		2
1		0.75393		928		30		70		2
1		0.762452		927		29		71		2
1		0.82865		926		28		72		2
1		0.842819		925		27		73		2
1		0.85021		926		28		72		2
1		0.940758		926		29		71		3
1		0.94393		925		28		72		3
1		0.969659		924		27		73		3
1		0.972598		923		26		74		3
1		0.976296		922		25		75		3
1		0.981788		922		26		74		4
1		0.991111		922		27		73		5
1		1.01063		921		26		74		5
1		1.05806		920		25		75		5
1		1.0798		919		24		76		5
1		1.12683		918		23		77		5
1		1.13687		917		22		78		5
1		1.15604		916		21		79		5
1		1.15628		916		22		78		6
1		1.17265		915		21		79		6
1		1.17904		916		22		78		6
1		1.20971		915		21		79		6
1		1.21087		916		22		78		6
1		1.25009		915		21		79		6
1		1.26334		914		20		80		6
1		1.27123		913		19		81		6
1		1.27414		913		20		80		7
1		1.27887		912		19		81		7
1		1.28021		911		18		82		7
1		1.41247		910		17		83		7
1		1.44984		909		16		84		7
1		1.45846		908		15		85		7
1		1.46324		908		16		84		8
1		1.47192		909		17		83		8
1		1.49713		908		16		84		8
1		1.50361		908		17		83		9
1		1.52877		907		16		84		9
1		1.5631		908		17		83		9
1		1.60381		907		16		84		9
1		1.61133		906		15		85		9
1		1.6141		905		14		86		9
1		1.61674		904		13		87		9
1		1.62923		903		12		88		9
1		1.62962		902		11		89		9
1		1.70434		901		10		90		9
1		1.70447		900		9		91		9
1		1.7071		899		8		92		9
1		1.70865		898		7		93		9
1		1.72293		897		6		94		9
1		1.7459		896		5		95		9
1		1.76271		895		4		96		9
1		1.82687		894		3		97		9
1		1.82936		893		2		98		9
1		1.83678		892		1		99		9
1		1.8494		893		2		98		9
1		1.86813		894		3		97		9
1		1.98987		893		2		98		9
1		2.0336		892		1		99		9
1		2.10644		892		2		98		10
1		2.12298		891		1		99		10
1		2.13552		891		2		98		11
1		2.16927		892		3		97		11
